Review,Clean_Reviews,Predicted_Sentiment
"bro everything is fan service, all female like only 1 new male 5* star...? genshin what is going on with you? i understand you said there would be less male characters BUT I DIDNT EXPECT TO ONLY THERE BE 1 MALE FIVE STAR CHARACTER????",bro everything is fan service all female like only 1 new male 5 star genshin what is going on with you i understand you said there would be less male characters but i didnt expect to only there be 1 male five star character,1
the game is really good but there's a lot of - because there's tooo many women and fun service game literally need more male characters and I don't like that cause I'm a male characters fun,the game is really good but theres a lot of because theres tooo many women and fun service game literally need more male characters and i dont like that cause im a male characters fun,1
"i played it before, it sucks. i didnt find the gameplay fun anymore the characters suck too. this is just gooner hell",i played it before it sucks i didnt find the gameplay fun anymore the characters suck too this is just gooner hell,0
Best game,best game,1
"I like the exploration,characters and sound design but the generousity of wishes are limited as a F2P and is challenging to get a 5 star in an update which just makes it unfair for players who don't spend money on it",i like the explorationcharacters and sound design but the generousity of wishes are limited as a f2p and is challenging to get a 5 star in an update which just makes it unfair for players who dont spend money on it,0
No pity for the player base whatsoever by the devs.,no pity for the player base whatsoever by the devs,0
"I LOVE KAZUHA. EDIT: Ya'll lost a lot of players since Natlan. ALSO WHERE TH ARE THE MALE CHARACTERS!?? we need more hoyo. Y are ya'll putting more effort in the female characters and are completely lazy when it comes to the males. Females play this games too and are even willing to spend, if ya'll want more money and more positive ratings YOU FIRST NEED TO LISTEN TO THE PLAYER'S FEEDBACKS. Do better.",i love kazuha edit yall lost a lot of players since natlan also where th are the male characters we need more hoyo y are yall putting more effort in the female characters and are completely lazy when it comes to the males females play this games too and are even willing to spend if yall want more money and more positive ratings you first need to listen to the players feedbacks do better,1
"Beautiful game, fun characters, immersive open world. This game is genuinely fun. Now that controller support has been added, it's much easier to play. My only issue is with how insanely low the drop rates for 5 star characters and weapons is",beautiful game fun characters immersive open world this game is genuinely fun now that controller support has been added its much easier to play my only issue is with how insanely low the drop rates for 5 star characters and weapons is,1
"fontaine arc was honestly so peak, and natlan seemed so good at first but its truly lackluster. they've added new features, which is good, but the features honestly barely do much/ are inconvenient. with the new region, the characters dont match the game, the archon quest was good at the start but then got boring/anticlimactic. the natlan powercreep isn't fun because of certain mechanics. music still 10/10. also, be prepared for the devs to give empty promises.",fontaine arc was honestly so peak and natlan seemed so good at first but its truly lackluster theyve added new features which is good but the features honestly barely do much are inconvenient with the new region the characters dont match the game the archon quest was good at the start but then got boringanticlimactic the natlan powercreep isnt fun because of certain mechanics music still 1010 also be prepared for the devs to give empty promises,1
it's a pretty cool game ever . I see in my life 😘,its a pretty cool game ever i see in my life,1
I love this game,i love this game,1
I love how the game is so mysterious and fun love the quality too,i love how the game is so mysterious and fun love the quality too,1
"I used to love this game. Hoyo should make more male characters and most of the women in genshin look like children. Natlan is supposed to be based in South America and the Natlan characters' skintone is not that dark. Hoyo should add more rewards to the game (daily intertwined fates, free skin AR rewards? etc.) I saw the newer character (Escoffier's) kit. I am disappointed that her kit and character design is basic. I hope hoyo finally listens to players opinions to improve their game.",i used to love this game hoyo should make more male characters and most of the women in genshin look like children natlan is supposed to be based in south america and the natlan characters skintone is not that dark hoyo should add more rewards to the game daily intertwined fates free skin ar rewards etc i saw the newer character escoffiers kit i am disappointed that her kit and character design is basic i hope hoyo finally listens to players opinions to improve their game,1
so good,so good,1
deleting 1 star reviews won't help you!,deleting 1 star reviews wont help you,0
"now the game is perfect with controller support after 4 and a half years. Thank you mihoyo👍, now its support dual sense, xbox360, gamesir g8 controllers already tested myself.",now the game is perfect with controller support after 4 and a half years thank you mihoyo now its support dual sense xbox360 gamesir g8 controllers already tested myself,1
I wish you guys adds a controller on android devices.,i wish you guys adds a controller on android devices,1
"So beautiful game, I like this game so much💥",so beautiful game i like this game so much,1
"I LOVE this game, it has lots of stuff even sometimes I feel suffocated by it, but the domains of enemies especially when it's timed is tiring. Even when my character's levels are way higher than the enemies, I somehow can't seem to kill most of the enemies in the time limit... it's an amazing game but sometimes it forces me into a quest like: Palace of the Vision Serpent, I can't leave it and go back to Co-Op, it's super annoying and I can't even play with friends, only talk..",i love this game it has lots of stuff even sometimes i feel suffocated by it but the domains of enemies especially when its timed is tiring even when my characters levels are way higher than the enemies i somehow cant seem to kill most of the enemies in the time limit its an amazing game but sometimes it forces me into a quest like palace of the vision serpent i cant leave it and go back to coop its super annoying and i cant even play with friends only talk,1
Love this game!!,love this game,1
Genshin is no longer what it used to be. a shame really.,genshin is no longer what it used to be a shame really,0
best gacha game in terms of lore,best gacha game in terms of lore,1
so pretty much the king,so pretty much the king,1
The best game ever!,the best game ever,1
"The story movement seems static, characters only have repetitive action and the lip sync after many years is still not fixed",the story movement seems static characters only have repetitive action and the lip sync after many years is still not fixed,0
i love genshin impact but the problem is that when I took a 50-day break off it I got back on and my account was gone! but other then that its a lovely game the graphics are out of this world,i love genshin impact but the problem is that when i took a 50day break off it i got back on and my account was gone but other then that its a lovely game the graphics are out of this world,1
I love this game!,i love this game,1
It's increasingly obvious that the devs just don't care. At all.,its increasingly obvious that the devs just dont care at all,0
boring lengthy,boring lengthy,0
"I Hereby Signing This Contract, To uninstall ""GENSHIN IMPACT"" DISADVANTAGES: Always walking, the places are so far Walay kabayo Overrated Need pa level 16 para sa co op Cute kaayo ang pako murag langaw ADVANTAGES Pang flex sa storage AND I WELCOME.",i hereby signing this contract to uninstall genshin impact disadvantages always walking the places are so far walay kabayo overrated need pa level 16 para sa co op cute kaayo ang pako murag langaw advantages pang flex sa storage and i welcome,1
"GAME💫, GRAPHICS🗿📈, OPTIMIZATION 💅📈, MUSIC❤️📈, STORY☠️📈, GAMEPLAY(absolute cinema)📈, STORAGE⚰️📈. (this game should have named CALL OF DUTY instead of G.I.)",game graphics optimization music story gameplayabsolute cinema storage this game should have named call of duty instead of gi,1
5 star yeah,5 star yeah,1
bro varification code problem is very big man,bro varification code problem is very big man,0
"Always wanted to play an open world roleplaying game... good thing I found one. great graphics, combat, story... loving it",always wanted to play an open world roleplaying game good thing i found one great graphics combat story loving it,1
"Years of playing and artifact RNG is still a joke. Flat HP, DEF every upgrade. No pity, no progress. Late-game Genshin is pure pain without good artifacts, and good luck getting them. The grind feels endless, with no meaningful rewards. New players, don’t waste your time. Veterans, stop coping. Rate 1 star. We deserve a better system and actual progression. This game is broken.",years of playing and artifact rng is still a joke flat hp def every upgrade no pity no progress lategame genshin is pure pain without good artifacts and good luck getting them the grind feels endless with no meaningful rewards new players dont waste your time veterans stop coping rate 1 star we deserve a better system and actual progression this game is broken,0
satisfied,satisfied,1
this game is good and interesting story,this game is good and interesting story,1
it's super funnn,its super funnn,1
best game I've ever played,best game ive ever played,1
best game ever,best game ever,1
fun game,fun game,1
i really want to play but i can't don't have enough storage,i really want to play but i cant dont have enough storage,0
"I personally play this a lot but ever since some new characters came out it has been getting slightly bad and I've been playing since 1.0 ever since the game came out and it's been well then but I rate at least half because everyone is just mean depends really and I love this game like sm but for right now I think Hoyoverse can do better and make things better as well. But overall, if your new to this game alot of the characters are gorgeous and handsome. The world are absolutely beautiful. Ty",i personally play this a lot but ever since some new characters came out it has been getting slightly bad and ive been playing since 10 ever since the game came out and its been well then but i rate at least half because everyone is just mean depends really and i love this game like sm but for right now i think hoyoverse can do better and make things better as well but overall if your new to this game alot of the characters are gorgeous and handsome the world are absolutely beautiful ty,1
"I've been playing genshin for more than 4 years. The story, gameplay, graphics, events, characters etc. are all awesome 💯 and the only problem is the community not the game.",ive been playing genshin for more than 4 years the story gameplay graphics events characters etc are all awesome and the only problem is the community not the game,1
All the things are good until I saw the Download MB...☠️,all the things are good until i saw the download mb,1
"Been playing since 1.3 and this game was literally the best you can play on mobile. The worldbuilding and the characters (that were even a good ratio) were so nicely done you can't help but get attached. Natlan and the new direction though has betrayed our trust and expectations for the game. I don't know what happened with the gacha space but it looks like this game is now catering to the toxicity of the so called 'target audience' Beware innocent new players, this game is not what it once was.",been playing since 13 and this game was literally the best you can play on mobile the worldbuilding and the characters that were even a good ratio were so nicely done you cant help but get attached natlan and the new direction though has betrayed our trust and expectations for the game i dont know what happened with the gacha space but it looks like this game is now catering to the toxicity of the so called target audience beware innocent new players this game is not what it once was,1
Not listening to players even the ones who spend in the game. New nation character designs not fit at all.,not listening to players even the ones who spend in the game new nation character designs not fit at all,0
my luck was insane in pulling and life changing game.,my luck was insane in pulling and life changing game,1
"It's a great game I love it. after all this time playing on a PC. I can finally download on my phone. Overall a great game with great story telling. If you only pursue combat action, you can still play it also, but it requires finishing stories to obtain material for upgrading some characters. So be patient and I hope you enjoy the game as I do. 😃",its a great game i love it after all this time playing on a pc i can finally download on my phone overall a great game with great story telling if you only pursue combat action you can still play it also but it requires finishing stories to obtain material for upgrading some characters so be patient and i hope you enjoy the game as i do,1
the other game is far better,the other game is far better,1
"only cares about there straight male audience and barely releases male characters, over sexualized women and no diversity, too hard to get pulls and a horrible community this game sucks and could be fixed with such easy things but would rather be racist and over sexualize the women they create",only cares about there straight male audience and barely releases male characters over sexualized women and no diversity too hard to get pulls and a horrible community this game sucks and could be fixed with such easy things but would rather be racist and over sexualize the women they create,0
"appreciationless, but no hates. for all westards, leaving the game is a free option.",appreciationless but no hates for all westards leaving the game is a free option,0
"Great game. I love how w3 can explore all the characters. And the main story quest is really good! I liked Fontaine the best. It made me experience a whirlwind of emotions , especially when we could deduce the conclusion. And it was touching as we learned of some characters' fates. The combat is hard to understand for newbies. I only learned because I stay in touch with the fandom. it's challenging for people who don't keep in touch. overall 5/5 they did a lot in this game and it's f2p.",great game i love how w3 can explore all the characters and the main story quest is really good i liked fontaine the best it made me experience a whirlwind of emotions especially when we could deduce the conclusion and it was touching as we learned of some characters fates the combat is hard to understand for newbies i only learned because i stay in touch with the fandom its challenging for people who dont keep in touch overall 55 they did a lot in this game and its f2p,1
"Just a warning to anybody installing If you don't mind devs not listening and clunky traversal with paywalled QOL then this is the game. If you do mind, play Zzz but with some cynicism or Wuthering Waves with your list of feedback.",just a warning to anybody installing if you dont mind devs not listening and clunky traversal with paywalled qol then this is the game if you do mind play zzz but with some cynicism or wuthering waves with your list of feedback,0
"Absolutely amazing game! amazing music, graphics and lore, while the main story(archon quest) can take a hit because they're trying to sell characters, genshin really shines in its side quests(world quests) where they're not bogged down by being a gacha, simply phenomenal storytelling. The lack of male 5* is definitely an issue tho",absolutely amazing game amazing music graphics and lore while the main storyarchon quest can take a hit because theyre trying to sell characters genshin really shines in its side questsworld quests where theyre not bogged down by being a gacha simply phenomenal storytelling the lack of male 5 is definitely an issue tho,1
"I love the story of this game and it's really fun, just a bit boring sometimes",i love the story of this game and its really fun just a bit boring sometimes,1
"I play on PS5 and I came to make this for one reason only. The way the game handles bugs and errors is HORRIBLE. For the imaginarium theatre it was showing me completed rewards for something I never did, not giving me rewards for what I did do..And when I explain IN DETAIL and provide screenshots they simply give me a copy and pasted ""Blah blah blah, no abnormalities were found."" and dont explain further. They asked for recordings for something that happened 4 days ago, and didn't help me at ALL",i play on ps5 and i came to make this for one reason only the way the game handles bugs and errors is horrible for the imaginarium theatre it was showing me completed rewards for something i never did not giving me rewards for what i did doand when i explain in detail and provide screenshots they simply give me a copy and pasted blah blah blah no abnormalities were found and dont explain further they asked for recordings for something that happened 4 days ago and didnt help me at all,0
this game is soo cool but the rewards are a bit too low because I did a long quest and I got 40 primos I think we should get 100 or 80 primos but still the characters are so cool!!!!!,this game is soo cool but the rewards are a bit too low because i did a long quest and i got 40 primos i think we should get 100 or 80 primos but still the characters are so cool,1
"I love it, reminds me of Zelda. But I wish i could have both high frames and resolution. Despite it mzving my phone a mini oven. 4.5/5",i love it reminds me of zelda but i wish i could have both high frames and resolution despite it mzving my phone a mini oven 455,1
"Oh yeah! This game has a lot of awesome twinks. I love Genshin! (Shout out to Scaramouche. Because ""He was born with a face fairer than any other."" Or Xiao, ""Good looking fella, not too tall.""",oh yeah this game has a lot of awesome twinks i love genshin shout out to scaramouche because he was born with a face fairer than any other or xiao good looking fella not too tall,1
"Millions of Dollars income from EACH banners,became Top #1 worldwide mobile games revenue on september (Appstore and playstore) , not including on the other platforms (PC and PS), mobile games of the year. and yet Thanks for the Very very very generous rewards as 1st aniv LoL. Anyway Conrats on your (jokefull) Very First aniversary LoL. For Such a thing has to happened and be A memorable one. Hope you guys learn from that (justkidding, you wont care anyway LOL)",millions of dollars income from each bannersbecame top 1 worldwide mobile games revenue on september appstore and playstore not including on the other platforms pc and ps mobile games of the year and yet thanks for the very very very generous rewards as 1st aniv lol anyway conrats on your jokefull very first aniversary lol for such a thing has to happened and be a memorable one hope you guys learn from that justkidding you wont care anyway lol,1
I'm sorry that I have to edit my reviews on you Genshin but.... I have to do it. I've been playing your game for 5yrs now and I still like the game but not the way it used to be. You see if I will be asked what's the peak for Genshin? That would be the Fontaine update/chapter as that's the most hyped I had with your game so far but after Natlan came.... that's downhill for me right there. So sorry but I have to give you 3/5 ratings.,im sorry that i have to edit my reviews on you genshin but i have to do it ive been playing your game for 5yrs now and i still like the game but not the way it used to be you see if i will be asked whats the peak for genshin that would be the fontaine updatechapter as thats the most hyped i had with your game so far but after natlan came thats downhill for me right there so sorry but i have to give you 35 ratings,1
most wonderful game I ever played,most wonderful game i ever played,1
Played for 3 years and it keeps getting worse and worse 👎,played for 3 years and it keeps getting worse and worse,0
great game when it comes to a fantasy game of another world which you can escape to between your real one I would really appreciate it if they can add a gadget that gives a boost to glider when mid air and take us little bit up,great game when it comes to a fantasy game of another world which you can escape to between your real one i would really appreciate it if they can add a gadget that gives a boost to glider when mid air and take us little bit up,1
"my account got hacked then the hacker changed my email and I filled the form with accurate information to get it back, the devs don't accept it.",my account got hacked then the hacker changed my email and i filled the form with accurate information to get it back the devs dont accept it,0
"The game started off okay, but with Natlan just seemed to lose everything that made it enjoyable. The story was horribly paced and just didn't fit. The entire region gives off a completely different vibe than the rest of the game, and seems more modern than fantasy. And that's not even starting on the new characters. Just overall horrible decline in quality. Had to quit the game entirely, it was so bad. RIP my account of two years.",the game started off okay but with natlan just seemed to lose everything that made it enjoyable the story was horribly paced and just didnt fit the entire region gives off a completely different vibe than the rest of the game and seems more modern than fantasy and thats not even starting on the new characters just overall horrible decline in quality had to quit the game entirely it was so bad rip my account of two years,0
increase the event rewards 😬,increase the event rewards,1
Most fun I've had playing a game in a long time. Hoyo been copping a lot of criticism since Natlan and I don't really get the hate. Natlan has been a lot of fun and the character designs are super cute. Although definitely lacking playable male characters. I mostly play on PC but this game is honestly a LOT of fun. I don't know how it flew under my radar all these years. Worth giving a go for sure.,most fun ive had playing a game in a long time hoyo been copping a lot of criticism since natlan and i dont really get the hate natlan has been a lot of fun and the character designs are super cute although definitely lacking playable male characters i mostly play on pc but this game is honestly a lot of fun i dont know how it flew under my radar all these years worth giving a go for sure,1
I love this game,i love this game,1
"Ga tau kenapa orang-orang bisa suka dengan ini game. Padahal fitur yang paling bagus dari game ini cuma support gamepad. Itupun setelah 5 tahun game rilis. Sistem pull, pity, 50:50, rusak! Musik ga sebagus dulu. Story ga bisa bikin hype. Side quest bosenin parah. Event reward jelek, tapi harus ditelen. Domain awal sepi untuk co-op. Momon makin o.p, character lama mati aja. Hoyo menjadi game penjualan terbesar di P.S. Namun kualitasnya semakin menurun. Just play monster hunter instead!",ga tau kenapa orangorang bisa suka dengan ini game padahal fitur yang paling bagus dari game ini cuma support gamepad itupun setelah 5 tahun game rilis sistem pull pity 5050 rusak musik ga sebagus dulu story ga bisa bikin hype side quest bosenin parah event reward jelek tapi harus ditelen domain awal sepi untuk coop momon makin op character lama mati aja hoyo menjadi game penjualan terbesar di ps namun kualitasnya semakin menurun just play monster hunter instead,1
Why cannot connected? Me can't connect :( please help,why cannot connected me cant connect please help,1
nice,nice,1
"wish it had more diversity in terms of characters but otherwise story is great and everything else, except the obvious issues that come with gacha games",wish it had more diversity in terms of characters but otherwise story is great and everything else except the obvious issues that come with gacha games,1
"I like the jiggle physics. Edit: I still like them, and I'm glad they don't use dark skin tones.",i like the jiggle physics edit i still like them and im glad they dont use dark skin tones,1
My grandma would do a better job,my grandma would do a better job,1
"this game has been repetitive as heck, you go to a new nation and help archon solve their problems for 2 patches then the rest of the year is a filler patch. same story next year and the year after",this game has been repetitive as heck you go to a new nation and help archon solve their problems for 2 patches then the rest of the year is a filler patch same story next year and the year after,0
"the game is beautiful, the landscape absolute 😙👌 I personally would recommend playing on a play station or anything that's like that, but if you want to play genshin out and about this is a good choice too one of my favourite games just wished hoyo listened to our requests more but oh well and if you want primos you either have to do loads of quests and explore or paying which you do get around 40 for £84.99 idk what it's in $ but yeah anyways love the game it's amazing",the game is beautiful the landscape absolute i personally would recommend playing on a play station or anything thats like that but if you want to play genshin out and about this is a good choice too one of my favourite games just wished hoyo listened to our requests more but oh well and if you want primos you either have to do loads of quests and explore or paying which you do get around 40 for 8499 idk what its in but yeah anyways love the game its amazing,1
kinda can cool game awesome graphics and realistic,kinda can cool game awesome graphics and realistic,1
"The puzzles in Inazuma doesn't make sense and you have to follow walkthroughs on YouTube step by step to complete them. I think my final decision is after seeing Wenut keep coming back to Spiral is that this game truly deserves 1 star. Spiral Abyss keeps getting harder and harder, unless you have a super build team with high end devices, you are not going to be able to do it. Wonderful game ruined by developer greed.",the puzzles in inazuma doesnt make sense and you have to follow walkthroughs on youtube step by step to complete them i think my final decision is after seeing wenut keep coming back to spiral is that this game truly deserves 1 star spiral abyss keeps getting harder and harder unless you have a super build team with high end devices you are not going to be able to do it wonderful game ruined by developer greed,1
"Genshin is a game I truly love, but it breaks my heart seeing it improve so slowly while other HoYoverse games like HSR and ZZZ get so much praise. I just wish the devs would show that they still care not just about the game, but about the players too. I want nothing but the best for Genshin. Please don’t let it fall behind.",genshin is a game i truly love but it breaks my heart seeing it improve so slowly while other hoyoverse games like hsr and zzz get so much praise i just wish the devs would show that they still care not just about the game but about the players too i want nothing but the best for genshin please dont let it fall behind,1
awesome,awesome,1
The game gets boring quickly. Please add new and stronger enemies.,the game gets boring quickly please add new and stronger enemies,0
I have been playing since the second latern rite and i really enjoyed it but i think you guys ruined it for many players with the fan service and that we still don't know much about our sister/brother so i started to playing wuthering waves and it doesn't have so many issues like genshin has maybe you guys should take inspiration from there,i have been playing since the second latern rite and i really enjoyed it but i think you guys ruined it for many players with the fan service and that we still dont know much about our sisterbrother so i started to playing wuthering waves and it doesnt have so many issues like genshin has maybe you guys should take inspiration from there,1
even with all the drama now i still really like the game and the 5.5 update was amazing,even with all the drama now i still really like the game and the 55 update was amazing,1
I like this game so much ♥️,i like this game so much,1
"Genshin is great! The quality of characters, New places, Amazing furniture and feature.",genshin is great the quality of characters new places amazing furniture and feature,1
I use to play this game alot but recently I've noticed that the game seems to be getting more boring?no offense you guys are trying out new mechanics I get that but seriously I don't think modern day technology was a good idea,i use to play this game alot but recently ive noticed that the game seems to be getting more boringno offense you guys are trying out new mechanics i get that but seriously i dont think modern day technology was a good idea,1
very good game Its so much fun to explore,very good game its so much fun to explore,1
nice,nice,1
plz make genshin impact in moba 5v5 type version game same characters same animation🫶🏻🫶🏻🥰🥰,plz make genshin impact in moba 5v5 type version game same characters same animation,1
So good,so good,1
"One of the best game on the Playstore. The story is intriguing, even though much of the lore feels like cookie crumbles that scatter all over. The soundtrack is top notch. Some of the music reminisces the work of Keichii Okabe. The gameplay is unique since every characters have unique set of moves. The elemental mechanics are fun to experiment since they have a variety of combinations to play around. The world is huge and diverse. If you like exploring a vast world, then this is the game.",one of the best game on the playstore the story is intriguing even though much of the lore feels like cookie crumbles that scatter all over the soundtrack is top notch some of the music reminisces the work of keichii okabe the gameplay is unique since every characters have unique set of moves the elemental mechanics are fun to experiment since they have a variety of combinations to play around the world is huge and diverse if you like exploring a vast world then this is the game,1
"I love this game so much, makes me feel free ♡",i love this game so much makes me feel free,1
good optimization,good optimization,1
good,good,1
best game i played,best game i played,1
"In my opinion genshin is such a fun game if youre phone have so much space you can probably have su much fun but if you dont have a too much storage dont risk to download it! It acrually take 33.69Gb, but in other ways is so much fun to play!",in my opinion genshin is such a fun game if youre phone have so much space you can probably have su much fun but if you dont have a too much storage dont risk to download it it acrually take 3369gb but in other ways is so much fun to play,1
game is soo satisfied,game is soo satisfied,1
you know what. it has been 5 months since I am playing this game and this is the one of the brilliant game i ever play.the story the graphics the character and (why Mauvika is so hot).Ok this game is like just 🫨🫨🤩♥️,you know what it has been 5 months since i am playing this game and this is the one of the brilliant game i ever playthe story the graphics the character and why mauvika is so hotok this game is like just,1
This is a wonderful game and absolutely best graphics ever seen. The reason I am putting 3 star rating is because this game takes way too long to install and takes too much storage for the people who has no apple phone. All the things apart but the game is nice,this is a wonderful game and absolutely best graphics ever seen the reason i am putting 3 star rating is because this game takes way too long to install and takes too much storage for the people who has no apple phone all the things apart but the game is nice,1
game is good but unfortunately my Id got logged out and it's even showing that my I'd doesn't exist when i tried to open my I'd,game is good but unfortunately my id got logged out and its even showing that my id doesnt exist when i tried to open my id,0
nice graphics,nice graphics,1
Stop review bombing especially apps and games that have nothing to do with what you are crying about. SUCH AN IMMATURE BEHAVIOR.,stop review bombing especially apps and games that have nothing to do with what you are crying about such an immature behavior,0
having getting good characters and beater areas under my level but other really great game,having getting good characters and beater areas under my level but other really great game,1
if you are looking for plenty adventure this is it,if you are looking for plenty adventure this is it,1
"G ada tombol skip g asik,,, tolong mihotod di reply dan di dengar jng honkai mulu yg disayang. Btw thanks for Herrscher of Finalty nya 😆",g ada tombol skip g asik tolong mihotod di reply dan di dengar jng honkai mulu yg disayang btw thanks for herrscher of finalty nya,1
"This game is absolutely amazing, the graphic, cutscene, character so great, *chef kiss*. But it only one thing that bothered me, it the dialogue too long and unskippable, i hope mihoyo listen to my wish to add skip button. thank you so much. 😍",this game is absolutely amazing the graphic cutscene character so great chef kiss but it only one thing that bothered me it the dialogue too long and unskippable i hope mihoyo listen to my wish to add skip button thank you so much,1
to much good and i like adventure,to much good and i like adventure,1
l wash l play it before 🩷 good for +12,l wash l play it before good for 12,1
good game,good game,1
very good game,very good game,1
best ever 👌👌,best ever,1
I'd never thought that everything in this world is cruel but this game is definitely true 🖐️,id never thought that everything in this world is cruel but this game is definitely true,1
"This game is my favorite game. I played it.. I liked it, but in this game... There is a 30 or 40 GB resource to download... Can you change it, i.e. if you separate it into a low-graphic resource and a high-graphic resource, If you do this, we will save a certain amount of our mobile storage. This is my request.",this game is my favorite game i played it i liked it but in this game there is a 30 or 40 gb resource to download can you change it ie if you separate it into a lowgraphic resource and a highgraphic resource if you do this we will save a certain amount of our mobile storage this is my request,1
lovely but no luck.,lovely but no luck,1
no luck no fun..,no luck no fun,0
Great game overall a bit racist...,great game overall a bit racist,1
The game is becoming less immersive and latest updates like the chracters does not feel fit in the world of Genshin Impact,the game is becoming less immersive and latest updates like the chracters does not feel fit in the world of genshin impact,1
"Genshin Impact has amazing music and stunning visuals—the world design and atmosphere are truly top-tier. However, the game really falls short when it comes to player rewards. Events and login bonuses feel stingy, especially compared to other gacha games. Older characters also struggle to stay relevant in the current meta, which makes long-time investment feel unrewarding. It’s a beautiful game, but it needs to treat its players better.",genshin impact has amazing music and stunning visualsthe world design and atmosphere are truly toptier however the game really falls short when it comes to player rewards events and login bonuses feel stingy especially compared to other gacha games older characters also struggle to stay relevant in the current meta which makes longtime investment feel unrewarding its a beautiful game but it needs to treat its players better,1
it's a pretty cool game actually,its a pretty cool game actually,1
"4 stars for the story alone, I don't play for meta, the story alone is good enough",4 stars for the story alone i dont play for meta the story alone is good enough,0
"Fantastic game at launch, became one of the best. Liyue was dull but main story was good. Sumeru and Fontaine were their best. Swimming underwater is amazing. Designs, story, plot twists everything was peak. Then Natlan came and...I stopped playing. A few good designs, some cute monsters but overall designs are garbage they don't fit into natlan, the archon is laughable at best and they need snezhya to save them. Zzz and hsr are vastly better hoyo games. I wish I could skip natlan biggest flop.",fantastic game at launch became one of the best liyue was dull but main story was good sumeru and fontaine were their best swimming underwater is amazing designs story plot twists everything was peak then natlan came andi stopped playing a few good designs some cute monsters but overall designs are garbage they dont fit into natlan the archon is laughable at best and they need snezhya to save them zzz and hsr are vastly better hoyo games i wish i could skip natlan biggest flop,1
I loved it,i loved it,1
"Please add native controller support for Android just like Zenless Zone Zero. Update: Thank you, I can now use my controller for android when playing thid game",please add native controller support for android just like zenless zone zero update thank you i can now use my controller for android when playing thid game,1
i love this game colour vibrant,i love this game colour vibrant,1
"Worst game ever. I forgot my log ins, which is my password and contacted CS yet my application form got rejected TWICE, even tho I can provide proof that I've got the account, I've played on it and can show that I've got the email linked to the account. This is the worst game ever, ig the game doesn't want people playing it.",worst game ever i forgot my log ins which is my password and contacted cs yet my application form got rejected twice even tho i can provide proof that ive got the account ive played on it and can show that ive got the email linked to the account this is the worst game ever ig the game doesnt want people playing it,0
Great,great,1
Really good game,really good game,1
Best RPG I have ever played. Recommend to all. Definitely worth all the hype about it. Just wish there was character interactions such as when you speak to the girl in the library it should be different speech for each character.,best rpg i have ever played recommend to all definitely worth all the hype about it just wish there was character interactions such as when you speak to the girl in the library it should be different speech for each character,1
uishh best siakk,uishh best siakk,1
